manga_id,avg_weekly_sales,median_weekly_sales,std_weekly_sales,min_weekly_sales,max_weekly_sales,sales_velocity,sales_trend_slope,sales_trend_r2,coefficient_variation,sales_range,skewness,kurtosis,autocorrelation_lag1,weeks_since_launch,weeks_to_peak,current_to_peak_ratio,status_encoded,total_volumes,avg_rank,median_rank,best_rank,worst_rank,rank_volatility,weeks_in_top10,weeks_in_top50,top10_ratio,top50_ratio,mal_score,popularity_rank,members,favorites,volumes,chapters,log_members,log_favorites,genre_Action,genre_Adventure,genre_Award Winning,genre_Boys Love,genre_Comedy,genre_Drama,genre_Ecchi,genre_Erotica,genre_Fantasy,genre_Girls Love,genre_Gourmet,genre_Horror,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Slice of Life,genre_Sports,genre_Supernatural,genre_Suspense,num_genres,demographic_Shounen,demographic_Shoujo,demographic_Seinen,demographic_Josei,demographic_Kids,demographic_Unknown,total_interactions,interactions_purchased,interactions_rated,interactions_bookmarked,interactions_viewed,user_avg_rating,user_rating_std,user_rating_count,unique_users
2,141780.0394736842,76268.5,162505.750390086,7032,926560,-0.6146312203724328,-753.5867905195727,0.0931556458163736,1.1461740652582002,919528,2.034573195247084,4.606753107196263,0.5136457826941975,227.0,48.0,0.0180581937489207,-1,19.0,26.58333333333333,12.0,1,159,33.047375394542854,106,179,0.4649122807017544,0.7850877192982456,9.46,1,803870,138811,0.0,0.0,13.597194087526791,11.840875778649206,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0,993,289,0,206,90,0,0,0,950
1706,50176.80902777778,27082.5,62046.08800382272,2416,382260,-0.6313000915103613,-270.7742608879994,0.1316389600008686,1.2365244558500912,379844,2.641817672193468,8.414981120443255,0.5087926054286236,287.0,0.0,0.0237377701041176,1,24.0,60.927083333333336,48.0,1,294,61.365522258419766,70,149,0.2430555555555555,0.5173611111111112,9.34,20,328559,52423,24.0,96.0,12.70247474863044,10.867119780719332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1,0,1,0,0,0,847,244,0,180,72,0,0,0,802
656,58980.14414414414,31505.0,74295.78474727523,2858,556555,-0.7025046964692855,-214.975652985778,0.1375411642330644,1.2596531624700873,553697,2.740695131741546,10.013351379238362,0.5146425169800151,443.0,60.0,0.008206286889885,-1,37.0,58.835585585585584,42.5,1,295,59.74734714129871,108,250,0.2432432432432432,0.5630630630630631,9.27,12,463350,49241,37.0,327.0,13.046240145208255,10.804502196857769,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,656,179,0,125,80,0,0,0,621
13,144579.1590909091,79666.5,164109.7177118161,9602,1218081,-0.5143298701816659,-1020.480626444668,0.0561413203137099,1.135077722584516,1208479,2.746519125763647,12.629421962502484,0.4568270780950687,131.0,0.0,0.0196382670774767,-1,11.0,26.704545454545453,18.0,1,126,28.041835260791835,56,102,0.4242424242424242,0.7727272727272727,9.21,3,703088,126569,0.0,0.0,13.463238763064158,11.748550793786494,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,0,0,0,667,201,0,128,60,0,0,0,635
162032,4170.199074074074,2407.0,4477.384213011552,247,20564,-0.6378481271485235,-21.245533407161314,0.0875393865853006,1.0734045854681356,20317,1.5634712838499658,1.922955013218675,0.5325355417292692,215.0,0.0,0.0243143357323477,1,18.0,304.2638888888889,305.0,12,500,167.91325414692517,0,6,0.0,0.0277777777777777,9.2,883,25042,2056,18.0,366.0,10.128349626344304,7.629003889652957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0,0,0,0,1,850,257,0,172,91,0,0,0,812
1,46899.569444444445,27598.5,50370.21191292117,1875,290417,-0.6026015587739899,-218.6670340204099,0.0732716582265135,1.0739786853246345,288542,1.8673434082683185,3.857033020171904,0.457628071794776,215.0,0.0,0.0198783129086795,1,18.0,59.125,44.0,1,386,65.05516266842174,62,121,0.287037037037037,0.5601851851851852,9.16,27,292282,23953,18.0,162.0,12.585477789982765,10.083890603507452,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,599,185,0,105,68,0,0,0,576
147272,18954.05208333333,12280.0,18813.455202975627,1185,87645,-0.5151435315864701,-163.80859332609876,0.058217067850346,0.9925298606548169,86460,1.4909786809809509,1.9666391541816,0.5315723476862662,95.0,12.0,0.0293399509384448,1,8.0,117.3125,78.5,1,426,103.93300250842688,15,35,0.15625,0.3645833333333333,9.09,200,90221,5648,0.0,222.0,11.410028578750374,8.639233817325263,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1,682,238,0,108,73,0,0,0,646
642,48764.6408045977,27187.0,57634.87120738836,2312,466785,-0.5064504833024162,-193.93418839534436,0.1142646136949615,1.1818745792417529,464473,2.6621496684104344,10.701430877612166,0.4656165020540618,347.0,24.0,0.0150460061912872,1,29.0,61.26436781609196,48.5,1,309,59.13742222450151,83,181,0.2385057471264367,0.5201149425287356,9.09,16,364143,38662,29.0,224.0,12.805304672783697,10.562638349337766,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,726,218,0,157,75,0,0,0,688
51,27653.725806451614,13519.0,34203.287659057845,1023,264082,-0.7417239931037926,-115.40858575533588,0.1312931377906277,1.236797207769766,263059,2.726349688119561,10.31316939693214,0.5435113005803252,371.0,36.0,0.0103424315174832,1,31.0,100.42204301075267,69.0,1,497,94.48816190355345,68,143,0.1827956989247312,0.3844086021505376,9.09,50,202003,18208,31.0,276.0,12.216042778167484,9.809671256331844,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0,0,0,0,0,530,151,0,125,45,0,0,0,510
25,45102.12962962963,25467.0,51439.44044623218,2077,302837,-0.7168305715490125,-194.3043969904652,0.1248180584636642,1.1404849479101344,300760,2.038511778617698,4.704056445230965,0.5112448533231401,323.0,24.0,0.0177735877716395,1,27.0,66.19444444444444,49.0,1,326,65.07608913067233,68,166,0.2098765432098765,0.5123456790123457,9.05,22,325372,31630,27.0,116.0,12.69272749552423,10.361892931354786,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0,0,0,0,836,260,0,162,78,0,0,0,801
